OverallEpisode #,Original airdate,Iron Chef,Challenger,Challenger Specialty,Theme Ingredient,Winner
52,"October 28, 1994",Chen Kenichi,Kōji Kobayashi (小林幸司),Italian,Pumpkin,Koji Kobayashi
53,"November 4, 1994",Rokusaburo Michiba,Yasuo Kawada (河田康雄),Japanese,Anglerfish,Rokusaburo Michiba
54,"November 11, 1994",Chen Kenichi,Tadashi Sugita (杉田　忠),Chinese (Beijing),Shanghai crab,Chen Kenichi
55,"November 18, 1994",Rokusaburo Michiba,Tatsuo Umemiya (梅宮辰夫),,Horse mackerel,Rokusaburo Michiba
56,"November 25, 1994",Hiroyuki Sakai,Seiya Kawasaki (川崎誠也),French,Quail,Seiya Kawasaki
57,"December 2, 1994",Chen Kenichi,Toshikatsu Nakagawa (中川俊勝),Chinese (Cantonese),Noodles,Chen Kenichi
58,"December 9, 1994",Rokusaburo Michiba,Hiroshi Furushō (古庄　浩),French,Turkey,Rokusaburo Michiba
59,"December 16, 1994",Hiroyuki Sakai,Masayo Waki (脇　雅世),French,Strawberry,Hiroyuki Sakai
61[8],"January 2, 1995",Toshirō Kandagawa,Tadaaki Shimizu,1994 Mr. Iron Chef Preliminaries (Finals),Abalone,Toshirō Kandagawa
61[8],"January 2, 1995",Rokusaburo Michiba[9],Toshirō Kandagawa,1994 Mr. Iron Chef Finals,Yellowtail,Rokusaburo Michiba
62,"January 6, 1995",Chen Kenichi,Toshiyuki Nakagawa (中川敏行),Japanese,Mochi,Chen Kenichi
63,"January 13, 1995",Hiroyuki Sakai,Kōji Yamada (山田康司),French,Turnip,Hiroyuki Sakai
64,"January 20, 1995",Chen Kenichi,Hisao Oidate (追立久夫),Chinese (Cantonese),Chinese cabbage,Chen Kenichi
65[10],"January 27, 1995",Hiroyuki Sakai,Fuyuko Kondō (近藤冬子),Pastries,Chocolate and apple,Hiroyuki Sakai
66,"February 3, 1995",Chen Kenichi,Yoshie Urabe (卜部吉恵),Japanese,Soybean,Chen Kenichi
67,"February 10, 1995",Rokusaburo Michiba,Masao Suzuki (鈴木眞雄),,Matsuba crab,Rokusaburo Michiba
68,"February 17, 1995",Chen Kenichi,Kunihiko Hashimoto (橋本邦彦),Japanese,Taro,Chen Kenichi
69,"February 24, 1995",Hiroyuki Sakai,Toshihiro Komine (小峰敏宏),French,Asparagus,Hiroyuki Sakai
70,"March 3, 1995",Rokusaburo Michiba,"Wang Zhijian (王志堅, Wan Jichen)",Chinese (Cantonese),Egg,Rokusaburo Michiba
71,"March 10, 1995",Chen Kenichi,Tetsutoshi Shimazu (島津哲俊),Italian,Squid,Chen Kenichi
72,"March 17, 1995",Hiroyuki Sakai,Shigeo Yuasa (湯浅薫男),French,Cod,Hiroyuki Sakai
73[11],"March 31, 1995",Chen Kenichi,"Leung Waikei (梁偉基, Ron Waikei)",Chinese (Cantonese),Pork,Chen Kenichi
73[11],"March 31, 1995",Rokusaburo Michiba,"Chow Chung (周中, Shū Chū)",Chinese (Cantonese),Spiny lobster,Rokusaburo Michiba
74,"April 7, 1995",Chen Kenichi,Chiyo Chō (張　千代),Chinese (Cantonese),Tofu,Chen Kenichi
75,"April 14, 1995",Yutaka Ishinabe,Tomoyuki Sawaguchi (澤口知之),Italian,Flounder,Yutaka Ishinabe
76,"April 21, 1995",Hiroyuki Sakai,Kunio Santō (山東邦男),Japanese,Clam,Hiroyuki Sakai
77,"April 28, 1995",Rokusaburo Michiba,Keisuke Tamano (玉野圭介),Japanese,Tilefish,Rokusaburo Michiba
78,"May 5, 1995",Chen Kenichi,"Lee Myong Suk (李明淑, Ri Meishō)",Korean,Liver,Chen Kenichi
79,"May 12, 1995",Hiroyuki Sakai,Isao Yanagidate (柳舘　功),French,Caviar,Hiroyuki Sakai
80,"May 19, 1995",Chen Kenichi,Elio Orsara,Italian,Swordfish,Chen Kenichi
81,"May 26, 1995",Rokusaburo Michiba,Etsuo Jō (城　悦男),French,Broccoli,Rokusaburo Michiba
82,"June 2, 1995",Hiroyuki Sakai,Katsuo Ōmiya (大宮勝雄),Yōshoku (Japanese Western-style diner),Onion,Hiroyuki Sakai
83,"June 9, 1995",Hiroyuki Sakai,Kazutaka Okabe (岡部和隆),French,Lamb,Kazutaka Okabe
84,"June 16, 1995",Rokusaburo Michiba,"Zeng Mingxing (曽明星, Sō Meisei)",Chinese (Shanghai),Blue crab,Zeng Mingxing
85,"June 23, 1995",Chen Kenichi,Yukihiro Noda (野田幸宏),Italian,Sardine,Chen Kenichi
86[12],"June 30, 1995",Yutaka Ishinabe,Takayoshi Kamatani (釜谷孝義),French,Avocado,Yutaka Ishinabe
87,"July 7, 1995",Hiroyuki Sakai,Takayoshi Kawai (河合隆良),French,Sole,Hiroyuki Sakai
88,"July 14, 1995",Hiroyuki Sakai,Haruyoshi Omino (小美野晴愛),Japanese,Sweetfish,Hiroyuki Sakai
89,"July 21, 1995",Chen Kenichi,"Lai Kamlun (黎錦倫, Rai Kamuron)",Chinese (Cantonese),Swallow's nest,Chen Kenichi
90,"July 28, 1995",Hiroyuki Sakai,Shin'ichi Nagamatsu (永松信一),Italian,Eggplant,Hiroyuki Sakai
91,"August 4, 1995",Chen Kenichi,Hisama Hirano (平野寿将),Japanese,Sea urchin,Chen Kenichi
92,"August 11, 1995",Rokusaburo Michiba,Kenji Kaji (梶　憲司),Japanese,Umeboshi,Rokusaburo Michiba
93[13],"August 18, 1995",Rokusaburo Michiba & Hiroyuki Sakai,Salvatore & Raffaele Cuomo,Italian,Tomato,Rokusaburo Michiba & Hiroyuki Sakai
94,"August 25, 1995",Chen Kenichi,Yoshiko Takemasa (武政佳子),Japanese,Short-necked Clam,Chen Kenichi
95[14],"September 1, 1995",Hiroyuki Sakai,Joël Bruant,French,Salmon,Hiroyuki Sakai
96,"September 8, 1995",Rokusaburo Michiba,Minoru Noda (野田　稔),Japanese,Matsutake mushroom,Rokusaburo Michiba
97,"September 15, 1995",Hiroyuki Sakai,Philippe Aubron,French,Crayfish,Hiroyuki Sakai
98,"September 22, 1995",Chen Kenichi,Tsuguo Fujiwara (藤原次雄),Chinese (Shanghai),Sea cucumber,Chen Kenichi
99[15],"October 6, 1995",Pierre Gagnaire,Gianfranco Vissani,"French (Gagnaire), Italian (Vissani)",Tuna,Gianfranco Vissani
99[15],"October 6, 1995",Rokusaburo Michiba,"Hsu Cheng (許成, Hoi Sei)",Chinese (Cantonese; Hsu),Squid,Rokusaburo Michiba
99[15],"October 6, 1995",Rokusaburo Michiba,Gianfranco Vissani,Italian,Duck (Kamo),Rokusaburo Michiba
100,"October 13, 1995",Hiroyuki Sakai,Sadaharu Nakajima (中嶋貞治),Japanese,Rice,Hiroyuki Sakai
101[16],"October 20, 1995",Rokusaburo Michiba,"Lin Kunbi (林　訓美, Rin Kunbi)",Chinese (Fujian),Potato,Draw
102[17],"October 27, 1995",Rokusaburo Michiba,"Lin Kunbi (林　訓美, Rin Kunbi)",Chinese (Fujian),Sweet potato,Rokusaburo Michiba
103,"November 3, 1995",Chen Kenichi,Masahiko Hagiwara (萩原雅彦),Italian,Scampi,Chen Kenichi
104,"November 10, 1995",Chen Kenichi,Kiyotaka Ikegawa (池川清隆),,Horsehair crab,Chen Kenichi
105,"November 17, 1995",Hiroyuki Sakai,Toshirō Kandagawa[18],Japanese,Lotus root,Hiroyuki Sakai
106,"November 24, 1995",Hiroyuki Sakai,Bruno Menard[19],French,Escargot,Hiroyuki Sakai
107,"December 1, 1995",Chen Kenichi,Shōzō Miyamoto (宮本荘三),Chinese (Shanghai),Carp,Chen Kenichi
108,"December 8, 1995",Hiroyuki Sakai,Tadamichi Ōta (大田忠道),Japanese,Octopus,Tadamichi Ōta
109,"December 15, 1995",Hiroyuki Sakai,Phillip Groult,French,Oyster,Hiroyuki Sakai
112,"January 12, 1996",Chen Kenichi,"Gao Jinyi (高進益, Kō Shin'eki)",Chinese (Taiwanese),Dried abalone,Chen Kenichi
113,"January 19, 1996",Hiroyuki Sakai,Hidetoshi Ushimaru (牛丸英敏),French,Curry powder,Hiroyuki Sakai
114,"January 26, 1996",Chen Kenichi,Hiroshi Yamanobe (山野辺 宏),French,Scorpionfish,Hiroshi Yamanobe
115,"February 2, 1996",Chen Kenichi,Yōji Watanabe (渡辺洋二),Japanese,Snapping turtle,Chen Kenichi
116,"February 9, 1996",Hiroyuki Sakai,Tadashi Yanagi (柳　正司),French,Chocolate and pear,Hiroyuki Sakai
117,"February 16, 1996",Hiroyuki Sakai,Jin'ichi Tateyama (舘山仁一),French,Leek,Hiroyuki Sakai
118,"February 23, 1996",Chen Kenichi,Takaya Nakazawa (中沢隆弥),Chinese (Szechuan),Shiitake mushroom,Takaya Nakazawa
119[20],"March 1, 1996",Komei Nakamura,Kiyoshi Suzuki (鈴木喜代司),French,Foie gras,Komei Nakamura
120,"March 8, 1996",Chen Kenichi,Tatsujirō Yoshida (吉田辰次郎),Japanese,Cod,Chen Kenichi
121,"March 15, 1996",Hiroyuki Sakai,Senji Osada (長田銑司),Japanese,Scallop,Hiroyuki Sakai
122,"March 22, 1996",Komei Nakamura,Lin Kunbi,Chinese (Fujian),Bell pepper,Komei Nakamura
123,"March 29, 1996",Chen Kenichi,Katsuaki Mori (森　克明),Italian,Spinach,Chen Kenichi
124[21],"April 12, 1996",Komei Nakamura,Bernard Leprince,French,Salmon,Bernard Leprince
124[21],"April 12, 1996",Hiroyuki Sakai,Pierre Gagnaire,French,Lobster,Pierre Gagnaire
125,"April 19, 1996",Komei Nakamura,Toyoaki Suganuma (菅沼豊明),French,Egg,Toyoaki Suganuma
126,"April 26, 1996",Chen Kenichi,"He Yewen (何業文, Ho Gyōmon)",Chinese (Cantonese),Lettuce,Chen Kenichi
127,"May 3, 1996",Komei Nakamura,Katsuko Nanao (七尾かつ子),Home cooking,Cod roe,Komei Nakamura
128,"May 10, 1996",Chen Kenichi,Shunji Morikawa (森川俊二),Thai,Pineapple,Chen Kenichi
129,"May 17, 1996",Hiroyuki Sakai,Tamotsu Takao (高尾　保),French,Abalone,Hiroyuki Sakai
130,"May 24, 1996",Komei Nakamura,Kenji Motai (もたい健治),Japanese,Udon,Kenji Motai
131,"May 31, 1996",Chen Kenichi,Ichio Gotō (後藤市雄),Italian,Cuttlefish,Chen Kenichi
132,"June 7, 1996",Hiroyuki Sakai,Yoshinobu Sonobe (曽野部好信),Japanese,Salmon roe,Hiroyuki Sakai
133,"June 14, 1996",Komei Nakamura,"Sun Guanyi (孫関義, Son Kangi)",Chinese (Shanghai),Pomfret,Komei Nakamura
134,"June 21, 1996",Hiroyuki Sakai,Philippe Baton,French,Bacon,Philippe Baton
135,"June 28, 1996",Komei Nakamura,Hideo Tozawa (戸沢英夫),Spanish,Clam,Komei Nakamura
136,"July 5, 1996",Chen Kenichi,Takayuki Nomura (野村孝之),Japanese,Sweetfish,Chen Kenichi
137,"July 12, 1996",Komei Nakamura,Hideki Yamamoto (山本秀樹),Japanese,Pike conger,Komei Nakamura
138,"July 19, 1996",Hiroyuki Sakai,Yoshimasa Uki (浮　義正),Japanese,Fatty tuna (Toro),Hiroyuki Sakai
139,"July 26, 1996",Komei Nakamura,Masaru Toriumi (鳥海　勝),French,Iwa oyster,Masaru Toriumi
140,"August 2, 1996",Chen Kenichi,Takeshi Yamamoto (山本　猛),Chinese (Cantonese),Black pork,Chen Kenichi
141,"August 9, 1996",Komei Nakamura,Thierry Houngues,French,Caviar,Komei Nakamura
142,"August 16, 1996",Chen Kenichi,Toshizō Tsugawa (津川利蔵),Sushi,Conger eel,Chen Kenichi
143,"August 23, 1996",Hiroyuki Sakai,Kenji Sugawara (菅原健二),California,Corn,Hiroyuki Sakai
144,"August 30, 1996",Chen Kenichi,Shinsuke Shimada (島田紳助),,Fleshy prawn,Chen Kenichi
145,"September 6, 1996",Komei Nakamura,Takamasa Uetake (植竹隆政),Italian,Peach,Takamasa Uetake
146,"September 13, 1996",Hiroyuki Sakai,Chōmei Sō (曽　兆明),Chinese (Cantonese),Soft-shell crab,Hiroyuki Sakai
147,"September 20, 1996",Komei Nakamura,Tokuo Endō (遠藤徳雄),Japanese,Saury,Komei Nakamura
148,"October 4, 1996",Chen Kenichi,Takeo Kashiwabara (柏原剛雄),Okinawan,Winter melon,Chen Kenichi
149[22],"October 11, 1996",Chen Kenichi,"Sun Liping (孫利平, Son Rihei)",Chinese (Beijing),Shark fin,Chen Kenichi
150,"October 18, 1996",Komei Nakamura,Shin Fujita (藤田　新),Japanese,Buckwheat,Komei Nakamura
151,"October 25, 1996",Komei Nakamura,Ryūichi Ogusu (小楠隆一),French,Chestnut,Komei Nakamura
152,"November 1, 1996",Chen Kenichi,Daniela Ozik,Italian,Mushroom,Chen Kenichi
153,"November 8, 1996",Hiroyuki Sakai,Hiroshi Yamaoka (山岡　洋),Chinese (Cantonese),Chinese cabbage,Hiroshi Yamaoka
154,"November 15, 1996",Hiroyuki Sakai,Wayne Nish,New American,Apple,Hiroyuki Sakai
155,"November 22, 1996",Komei Nakamura,Kenjirō Kuroki (黒木献二郎),Japanese,Angler,Komei Nakamura
156,"November 29, 1996",Komei Nakamura,Kiyoshi Miyashiro (宮代　潔),French,Beef tongue,Komei Nakamura
157,"December 6, 1996",Chen Kenichi,Sachio Ishizaki (石崎幸雄),Italian,Garlic,Chen Kenichi
158,"December 13, 1996",Hiroyuki Sakai,Yoshio Suzuki (鈴木芳男),French,Orange,Hiroyuki Sakai
159[23],"December 20, 1996",Komei Nakamura,Bernard Leprince,French,Duck (Kamo),Bernard Leprince
161,"January 10, 1997",Hiroyuki Sakai,Kan Kasahara (笠原　寛),Japanese,Mochi,Hiroyuki Sakai
162,"January 17, 1997",Chen Kenichi,Hiroshi Michifude (道筆　博),Chinese (Cantonese),Dried scallop,Hiroshi Michifude
163,"January 24, 1997",Hiroyuki Sakai,Rory Kennedy,Gibier [24],European rabbit,Draw
164[25],"January 31, 1997",Hiroyuki Sakai,Rory Kennedy,Gibier [24],European pigeon,Hiroyuki Sakai
165,"February 7, 1997",Komei Nakamura,Hiroyoshi Morie (森枝弘好),Japanese,Spider crab,Komei Nakamura
166,"February 14, 1997",Chen Kenichi,"Huang Baokang (黄宝康, Kō Hōko)",Chinese (Fujian),Rice,Chen Kenichi
167,"February 21, 1997",Hiroyuki Sakai,Tetsuya Shimada (島田哲也),French,Truffle,Hiroyuki Sakai
168,"February 24, 1997",Komei Nakamura,Tateo Yamazaki (山崎建夫),Japanese,Natto,Komei Nakamura
169,"March 7, 1997",Hiroyuki Sakai,Etsuo Jō,French,Wine,Etsuo Jō
170,"March 14, 1997",Chen Kenichi,Yūji Wakiya,Chinese (Cantonese),Papaya,Yūji Wakiya
171,"March 21, 1997",Komei Nakamura,Takashi Mera,Japanese,Wakame seaweed,Komei Nakamura
172,"March 28, 1997",Hiroyuki Sakai,Hiroyuki Kitami,Italian,Honey,Hiroyuki Sakai
173,"April 11, 1997",Komei Nakamura,"Yang Guangjian (揚光鑑, Yō Kōkan)",Chinese (Cantonese),Hanami[26],Komei Nakamura
174,"April 18, 1997",Hiroyuki Sakai,Shinzō Okunuma (奥村眞三),French,Bamboo shoot,Hiroyuki Sakai
175,"April 25, 1997",Chen Kenichi,Chihiro Ōtsuki (おおつきちひろ),Spanish,Tomato,Chen Kenichi
176,"May 2, 1997",Hiroyuki Sakai,Kiyoyasu Sasaki (佐々木清恭),French,Sea Bass,Hiroyuki Sakai
177,"May 9, 1997",Komei Nakamura,Norio Azumaya (東屋則夫),Japanese,Pork,Komei Nakamura
178,"May 16, 1997",Komei Nakamura,Gillian Hirst,Australian,Ostrich,Komei Nakamura
179,"May 23, 1997",Chen Kenichi,Masao Takagi (高木政雄),Chinese (Cantonese),Thousand-year old egg,Chen Kenichi
180,"May 30, 1997",Hiroyuki Sakai,Germano Orsara,Italian,Ham,Hiroyuki Sakai
181,"June 6, 1997",Komei Nakamura,Hisato Sakane (坂根久人),Japanese,Conger eel,Hisato Sakane
182[27],"June 13, 1997",Masahiko Kobe,Masahiko Hagiwara,Italian,Short pasta,Masahiko Hagiwara
183,"June 20, 1997",Hiroyuki Sakai,Kunio Satō (佐藤訓生),Japanese,Amberjack,Hiroyuki Sakai
184,"June 27, 1997",Chen Kenichi,"Chow Kuen Chung (周権忠, Shū Kenchū)[1]",Chinese (Cantonese),Blacktip grouper,Chow Kuen Chung
185,"July 4, 1997",Komei Nakamura,Masami Kashima (鹿島正己),Vietnamese,Kuruma prawn,Komei Nakamura
186,"July 11, 1997",Hiroyuki Sakai,Toshiyuki Ishikawa (石川敏行),Chinese (Shanghai),Sea urchin roe,Hiroyuki Sakai
187,"July 18, 1997",Chen Kenichi,Yoshikazu Matsuno (松野義一),Chinese/Sushi,Mantis shrimp,Chen Kenichi
188,"July 25, 1997",Masahiko Kobe,Stephano Tabacchi,Italian,Cabbage,Masahiko Kobe
189,"August 1, 1997",Hiroyuki Sakai,Seiji Toyoshima (豊嶋誠司),French,Milk,Hiroyuki Sakai
190[28],"August 8, 1997",Chen Kenichi & Komei Nakamura,Hiroyuki Sakai & Masahiko Kobe,Iron Chef,Watermelon,Hiroyuki Sakai & Masahiko Kobe
191,"August 15, 1997",Chen Kenichi,Sōsei Kawaguchi (川口宗清),Vegetarian (Buddhist),Eggplant,Chen Kenichi
192,"August 22, 1997",Hiroyuki Sakai,Pietro Androsoni,Italian,Melon,Hiroyuki Sakai
193,"August 29, 1997",Komei Nakamura,Yoshinori Kojima (小島孔典),French,Potato,No Contest
194,"September 5, 1997",Komei Nakamura,Yoshinori Kojima (小島孔典),French,Marbled sole,Komei Nakamura
195,"September 12, 1997",Hiroyuki Sakai,Toshiyuki Nakajima (中嶋壽幸),French,Beef cheek,Toshiyuki Nakajima
196,"September 26, 1997",Chen Kenichi,Miyuki Igarashi (五十嵐美幸),Chinese (Cantonese),Cucumber,Chen Kenichi
197,"October 3, 1997",Masahiko Kobe,Fujio Imai (今井富士男),Japanese,Matsutake mushroom,Masahiko Kobe
198[29],"October 10, 1997",Komei Nakamura,"Liu Xikun (劉錫坤, Ryū Sekikon)",Chinese (Cantonese; Liu),Beef,Komei Nakamura
198[29],"October 10, 1997",Alain Passard,Patrick Clark,French (Passard); New American (Clark),Lobster,Alain Passard
198[29],"October 10, 1997",Komei Nakamura,Alain Passard,French,Foie gras,Draw[30]
199,"October 17, 1997",Chen Kenichi,Matsuo Nagasaka (長坂松夫),Chinese (Cantonese),Spare rib,Chen Kenichi
200,"October 24, 1997",Hiroyuki Sakai,Masashi Gotō (後藤雅司),French,Freshwater prawn,Hiroyuki Sakai
201,"October 31, 1997",Masahiko Kobe,Yūji Seki (関　雄二),Chinese (Beijing),Chestnut,Masahiko Kobe
202,"November 14, 1997",Komei Nakamura,Keiji Azuma (東　敬司),French,Lamb,Keiji Azuma
203,"November 21, 1997",Chen Kenichi,Toru Matsushima (松島　徹),Chinese (Shanghai),Shanghai crab,Chen Kenichi
204,"November 28, 1997",Masahiko Kobe,Kazunari Takeda (高橋和名利),Japanese,Cod soft roe,Draw
205,"December 5, 1997",Masahiko Kobe,Kazunari Takeda (高橋和名利),Japanese,Pink prawn,Kazunari Takeda
206,"December 12, 1997",Komei Nakamura,Maurice Guillouët,French,Scallop,Maurice Guillouët
207,"December 19, 1997",Masahiko Kobe,Yasumasa Takagi (高木康政),French,Strawberry,Masahiko Kobe
208,"December 26, 1997",Komei Nakamura,Toshirō Kandagawa,Japanese,Longtooth grouper,Toshirō Kandagawa
209,"January 9, 1998",Chen Kenichi,Akihiko Inoue (井上明彦),Japanese,Salted salmon,Chen Kenichi
210,"January 16, 1998",Masahiko Kobe,Yasuhiro Fukatsu (深津泰弘),French,Venison,Yasuhiro Fukatsu
211,"January 23, 1998",Hiroyuki Sakai,Yoshimasa Matsumoto (松本吉正),Japanese,Snow crab,Hiroyuki Sakai
212,"January 30, 1998",Chen Kenichi,"Tong Chiufai (唐 朝輝, Tō Chōki)",Chinese (Cantonese),Black tiger prawn,Chen Kenichi
213,"February 6, 1998",Hiroyuki Sakai,Fumiaki Satō (佐藤文昭),Japanese,Daikon radish,Fumiaki Satō
214[31],"February 13, 1998",Komei Nakamura,Yukio Hattori,,Tuna,Komei Nakamura
214[31],"February 20, 1998",Komei Nakamura,Yukio Hattori,,Tuna,Komei Nakamura
215,"February 27, 1998",Masaharu Morimoto[32],Yukio Hirayama (平山幸男),Japanese,Red snapper,Masaharu Morimoto
216,"March 6, 1998",Hiroyuki Sakai,Motohito Kondō (近藤元人),Japanese,Girl's Festival[33],Hiroyuki Sakai
217,"March 13, 1998",Masahiko Kobe,Mario Frittoli,Italian,Broccoli,Masahiko Kobe
218,"April 4, 1998",Masaharu Morimoto,Masuyoshi Kimura (木村昌義),Chinese (Szechuan),Rice,Masaharu Morimoto
219,"April 10, 1998",Hiroyuki Sakai,Tomoji Ichikawa (市川知志),French,Guinea fowl,Hiroyuki Sakai
220,"April 17, 1998",Chen Kenichi,Mitsurō Harada (原田充朗),Japanese,Spanish mackerel,Mitsurō Harada
221,"April 24, 1998",Chen Kenichi,Takashi Shimamura (島村 隆),Japanese,Pen shell,Chen Kenichi
222,"May 1, 1998",Masaharu Morimoto,Tetsuo Hagiwara (萩原哲雄),Japanese,Bamboo shoot,Tetsuo Hagiwara
223,"May 8, 1998",Masahiko Kobe,Yōsei Watanabe (渡辺庸生),Mexican,Mango,Masahiko Kobe
